"No.","Time","Source","Destination","Protocol","Length","Info"
"1","15:47:07.311224","145.254.160.237","65.208.228.223","TCP","62","3372  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460 SACK_PERM=1"
"2","15:47:08.222534","65.208.228.223","145.254.160.237","TCP","62","80  >  3372 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380 SACK_PERM=1"
"3","15:47:08.222534","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=1 Ack=1 Win=9660 Len=0"
"4","15:47:08.222534","145.254.160.237","65.208.228.223","HTTP","533","GET /download.html HTTP/1.1 "
"5","15:47:08.783340","65.208.228.223","145.254.160.237","TCP","54","80  >  3372 [ACK] Seq=1 Ack=480 Win=6432 Len=0"
"6","15:47:08.993643","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=1 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"7","15:47:09.123830","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=1381 Win=9660 Len=0"
"8","15:47:09.123830","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=1381 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"9","15:47:09.324118","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=2761 Win=9660 Len=0"
"10","15:47:09.754737","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=2761 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"11","15:47:09.864896","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [PSH, ACK] Seq=4141 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"12","15:47:09.864896","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=5521 Win=9660 Len=0"
"13","15:47:09.864896","145.254.160.237","145.253.2.203","DNS","89","Standard query 0x0023 A pagead2.googlesyndication.com"
